H2O,H2O,-1
H2O,H+,1
H2O,OH-,1
H+,H2O,1
H+,H+,-1
H+,OH-,-1
H+,HNO3,1
H+,H3PO4,1
H+,H2PO4-,-1
H+,H2PO4-,1
H+,HPO4--,-1
H+,HPO4--,1
H+,PO4---,-1
H+,H3BO3,1
H+,H2BO3-,1
H+,HBO3--,-1
H+,HBO3--,1
H+,BO3---,-1
OH-,H2O,1
OH-,H+,-1
OH-,OH-,-1
KNO3,KNO3,-1
Ca(NO3)2,Ca(NO3)2,-1
NH4H2PO4,NH4H2PO4,-1
MgSO4,MgSO4,-1
NaFeEDTA,NaFeEDTA,-1
H3BO3,H3BO3,-1
MnSO4,MnSO4,-1
ZnSO4,ZnSO4,-1
CuSO4,CuSO4,-1
Na2MoO4,Na2MoO4,-1
HNO3,HNO3,-1
NH4+,NH4H2PO4,1
H2PO4-,NH4H2PO4,1
H2PO4-,H3PO4,1
H2PO4-,H+,-1
H2PO4-,H2PO4-,-1
H2PO4-,H+,1
H2PO4-,HPO4--,1
H2PO4-,Ca(H2PO4)2,1
H2PO4-,Ca++,-1
NO3-,HNO3,1
NO3-,KNO3,1
NO3-,Ca(NO3)2,1
HPO4--,H2PO4-,1
HPO4--,H+,-1
HPO4--,HPO4--,-1
HPO4--,H+,1
HPO4--,PO4---,1
HPO4--,CaHPO4,1
HPO4--,Ca++,-1
HPO4--,FeHPO4,1
HPO4--,Fe++,-1
PO4---,HPO4--,1
PO4---,H+,-1
PO4---,PO4---,-1
PO4---,Ca3(PO4)2,1
PO4---,Ca++,-1
PO4---,Fe3(PO4)2,1
PO4---,Fe++,-1
Ca++,CaHPO4,1
Ca++,Ca++,-1
Ca++,HPO4--,-1
Ca++,Ca3(PO4)2,1
Ca++,PO4---,-1
Ca++,CaSO4,1
Ca++,SO4--,-1
Ca++,Ca(H2PO4)2,1
Ca++,H2PO4-,-1
Ca++,Ca(NO3)2,1
K+,KNO3,1
Mg++,MgSO4,1
SO4--,MgSO4,1
SO4--,CuSO4,1
SO4--,MnSO4,1
SO4--,ZnSO4,1
SO4--,CaSO4,1
SO4--,Ca++,-1
SO4--,SO4--,-1
Cu++,CuSO4,1
Mn++,MnSO4,1
Zn++,ZnSO4,1
H2BO3-,H3BO3,1
H2BO3-,H2BO3-,-1
H2BO3-,H+,1
H2BO3-,HBO3--,1
HBO3--,H2BO3-,1
HBO3--,H+,-1
HBO3--,HBO3--,-1
HBO3--,H+,1
HBO3--,BO3---,1
BO3---,HBO3--,1
BO3---,H+,-1
BO3---,BO3---,-1
Na+,Na2MoO4,1
Na+,NaFeEDTA,1
MoO4--,Na2MoO4,1
FeEDTA-,NaFeEDTA,1
FeEDTA-,FeEDTA-,-1
Fe++,FeEDTA-,1
Fe++,Fe3(PO4)2,1
Fe++,Fe++,-1
Fe++,PO4---,-1
Fe++,FeHPO4,1
Fe++,HPO4--,-1
EDTA---,FeEDTA-,1
CaSO4,CaSO4,-1
CaSO4,Ca++,1
CaSO4,SO4--,1
H3PO4,H3PO4,-1
H3PO4,H+,1
H3PO4,H2PO4-,1
CaHPO4,CaHPO4,-1
CaHPO4,Ca++,1
CaHPO4,HPO4--,1
Ca3(PO4)2,Ca3(PO4)2,-1
Ca3(PO4)2,Ca++,1
Ca3(PO4)2,PO4---,1
Ca(H2PO4)2,Ca(H2PO4)2,-1
Ca(H2PO4)2,Ca++,1
Ca(H2PO4)2,H2PO4-,1
FeHPO4,FeHPO4,-1
FeHPO4,Fe++,1
FeHPO4,HPO4--,1
Fe3(PO4)2,Fe3(PO4)2,-1
Fe3(PO4)2,Fe++,1
Fe3(PO4)2,PO4---,1
